,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_top1_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_top1_acc_till_current_batch,avg_test_loss_till_current_batch,avg_test_top1_acc_till_current_batch
0,hubert2,train,original,1,2e-05,32,1,1.8045262098312378,1.8045262098312378,18.75,,,,
1,hubert2,train,original,1,2e-05,32,2,1.8114547729492188,1.8079904913902283,14.0625,,,,
2,hubert2,train,original,1,2e-05,32,3,1.8126640319824219,1.8095483382542927,14.583333333333334,,,,
3,hubert2,train,original,1,2e-05,32,4,1.8820825815200806,1.8276818990707397,17.1875,,,,
4,hubert2,train,original,1,2e-05,32,5,1.7438796758651733,1.8109214544296264,18.75,,,,
5,hubert2,train,original,1,2e-05,32,6,1.7318984270095825,1.7977509498596191,19.791666666666668,,,,
6,hubert2,train,original,1,2e-05,32,7,1.7594255208969116,1.7922758885792323,19.196428571428573,,,,
7,hubert2,train,original,1,2e-05,32,8,1.8774737119674683,1.8029256165027618,19.53125,,,,
8,hubert2,train,original,1,2e-05,32,9,1.7000044584274292,1.7914899322721693,21.180555555555557,,,,
9,hubert2,train,original,1,2e-05,32,10,1.5652439594268799,1.7688653349876404,23.125,,,,
10,hubert2,train,original,1,2e-05,32,11,1.6304043531417847,1.7562779730016536,24.431818181818183,,,,
11,hubert2,train,original,1,2e-05,32,12,1.6444052457809448,1.746955245733261,25.78125,,,,
12,hubert2,train,original,1,2e-05,32,13,1.5478895902633667,1.7316425030048077,27.64423076923077,,,,
13,hubert2,train,original,1,2e-05,32,14,1.8266104459762573,1.7384259275027685,26.339285714285715,,,,
14,hubert2,train,original,1,2e-05,32,15,1.6477359533309937,1.73237992922465,27.291666666666668,,,,
15,hubert2,train,original,1,2e-05,32,16,1.7191674709320068,1.7315541505813599,27.1484375,,,,
16,hubert2,train,original,1,2e-05,32,17,1.5958527326583862,1.7235717142329496,27.573529411764707,,,,
17,hubert2,train,original,1,2e-05,32,18,1.6213845014572144,1.71789464685652,28.125,,,,
18,hubert2,train,original,1,2e-05,32,19,1.5636491775512695,1.7097764642615068,29.276315789473685,,,,
19,hubert2,train,original,1,2e-05,32,20,1.4574830532073975,1.6971617937088013,29.6875,,,,
20,hubert2,train,original,1,2e-05,32,21,1.6614612340927124,1.6954617670604162,29.761904761904763,,,,
21,hubert2,train,original,1,2e-05,32,22,1.5553803443908691,1.6890944296663457,30.823863636363637,,,,
22,hubert2,train,original,1,2e-05,32,23,1.4593737125396729,1.6791065723999687,31.52173913043478,,,,
23,hubert2,train,original,1,2e-05,32,24,1.4285318851470947,1.668665960431099,32.291666666666664,,,,
24,hubert2,train,original,1,2e-05,32,25,1.4969680309295654,1.6617980432510375,33.125,,,,
25,hubert2,train,original,1,2e-05,32,26,1.4449522495269775,1.6534578204154968,33.77403846153846,,,,
26,hubert2,train,original,1,2e-05,32,27,1.3629398345947266,1.6426978950147275,34.83796296296296,,,,
27,hubert2,train,original,1,2e-05,32,28,1.4847089052200317,1.6370554310934884,35.044642857142854,,,,
28,hubert2,train,original,1,2e-05,32,29,1.5993441343307495,1.6357550415499458,35.3448275862069,,,,
29,hubert2,train,original,1,2e-05,32,30,1.50271475315094,1.6313203652699788,35.833333333333336,,,,
30,hubert2,train,original,1,2e-05,32,31,1.244659423828125,1.6188474316750803,36.59274193548387,,,,
31,hubert2,train,original,1,2e-05,32,32,1.3333425521850586,1.6099254041910172,37.40234375,,,,
32,hubert2,train,original,1,2e-05,32,33,1.500625729560852,1.606613292838588,37.59469696969697,,,,
33,hubert2,train,original,1,2e-05,32,34,1.2862006425857544,1.5971893913605635,38.23529411764706,,,,
34,hubert2,train,original,1,2e-05,32,35,1.2486854791641235,1.5872321367263793,38.57142857142857,,,,
35,hubert2,train,original,1,2e-05,32,36,1.3293864727020264,1.5800697571701474,39.0625,,,,
36,hubert2,train,original,1,2e-05,32,37,1.4879170656204224,1.5775791438850197,39.358108108108105,,,,
37,hubert2,train,original,1,2e-05,32,38,1.4364758729934692,1.5738658999141895,39.55592105263158,,,,
38,hubert2,train,original,1,2e-05,32,39,1.5588196516036987,1.573480098675459,39.66346153846154,,,,
39,hubert2,train,original,1,2e-05,32,40,1.1838923692703247,1.5637404054403305,40.3125,,,,
40,hubert2,train,original,1,2e-05,32,41,1.4971779584884644,1.5621169311244314,40.625,,,,
41,hubert2,train,original,1,2e-05,32,42,1.3101208209991455,1.556117023740496,41.220238095238095,,,,
42,hubert2,train,original,1,2e-05,32,43,1.262472152709961,1.5492880732514138,41.78779069767442,,,,
43,hubert2,train,original,1,2e-05,32,44,1.4966365098953247,1.5480914468115026,41.69034090909091,,,,
44,hubert2,train,original,1,2e-05,32,45,1.278798222541809,1.5421071529388428,41.94444444444444,,,,
45,hubert2,train,original,1,2e-05,32,46,1.3338038921356201,1.537578821182251,42.32336956521739,,,,
46,hubert2,train,original,1,2e-05,32,47,1.1411356925964355,1.529143860999574,42.75265957446808,,,,
47,hubert2,train,original,1,2e-05,32,48,1.2191486358642578,1.5226856271425884,43.359375,,,,
48,hubert2,train,original,1,2e-05,32,49,1.149164080619812,1.5150627384380417,43.87755102040816,,,,
49,hubert2,train,original,1,2e-05,32,50,1.4221980571746826,1.5132054448127747,43.9375,,,,
50,hubert2,train,original,1,2e-05,32,51,1.34418785572052,1.5098913744384168,44.17892156862745,,,,
51,hubert2,train,original,1,2e-05,32,52,1.2140204906463623,1.504201549750108,44.77163461538461,,,,
52,hubert2,train,original,1,2e-05,32,53,1.2863179445266724,1.5000905383307979,45.1061320754717,,,,
53,hubert2,train,original,1,2e-05,32,54,1.1339783668518066,1.493310683303409,45.3125,,,,
54,hubert2,train,original,1,2e-05,32,55,1.2535344362258911,1.488951115174727,45.625,,,,
55,hubert2,train,original,1,2e-05,32,56,1.4186255931854248,1.487695302282061,45.703125,,,,
56,hubert2,train,original,1,2e-05,32,57,1.2099113464355469,1.4828218995479114,45.88815789473684,,,,
57,hubert2,train,original,1,2e-05,32,58,1.1140285730361938,1.476463393918399,46.2823275862069,,,,
58,hubert2,train,original,1,2e-05,32,59,1.1090790033340454,1.4702365398406982,46.71610169491525,,,,
59,hubert2,train,original,1,2e-05,32,60,1.239445447921753,1.4663900216420491,46.770833333333336,,,,
60,hubert2,train,original,1,2e-05,32,61,1.2468417882919312,1.4627908702756538,46.77254098360656,,,,
61,hubert2,train,original,1,2e-05,32,62,1.0473624467849731,1.4560904118322557,47.127016129032256,,,,
62,hubert2,train,original,1,2e-05,32,63,1.016247272491455,1.449108774699862,47.470238095238095,,,,
63,hubert2,train,original,1,2e-05,32,64,1.3339048624038696,1.4473087135702372,47.705078125,,,,
64,hubert2,train,original,1,2e-05,32,65,0.8166760802268982,1.4376066730572628,48.31730769230769,,,,
65,hubert2,train,original,1,2e-05,32,66,0.9054156541824341,1.4295431727712804,48.76893939393939,,,,
66,hubert2,train,original,1,2e-05,32,67,0.7836553454399109,1.419903055945439,49.30037313432836,,,,
67,hubert2,train,original,1,2e-05,32,68,1.0384151935577393,1.4142929403220905,49.58639705882353,,,,
68,hubert2,train,original,1,2e-05,32,69,0.9589753150939941,1.4076941341593645,49.81884057971015,,,,
69,hubert2,train,original,1,2e-05,32,70,0.5755769610404968,1.395806745971952,50.49107142857143,,,,
70,hubert2,train,original,1,2e-05,32,71,1.1436450481414795,1.3922551727630723,50.79225352112676,,,,
71,hubert2,train,original,1,2e-05,32,72,0.8623167872428894,1.3848949174086254,51.21527777777778,,,,
72,hubert2,train,original,1,2e-05,32,73,0.8079069256782532,1.3769909723164284,51.54109589041096,,,,
73,hubert2,train,original,1,2e-05,32,74,1.0793712139129639,1.3729690836893547,51.64695945945946,,,,
74,hubert2,train,original,1,2e-05,32,75,0.7253552675247192,1.3643342328071595,52.041666666666664,,,,
75,hubert2,val,original,1,2e-05,32,1,0.8986195921897888,,,0.8986195921897888,68.75,,
76,hubert2,val,original,1,2e-05,32,2,0.9228895902633667,,,0.9107545912265778,67.1875,,
77,hubert2,val,original,1,2e-05,32,3,0.7908532023429871,,,0.8707874615987142,70.83333333333333,,
78,hubert2,val,original,1,2e-05,32,4,0.6664793491363525,,,0.8197104334831238,72.65625,,
79,hubert2,val,original,1,2e-05,32,5,0.8030117750167847,,,0.8163707017898559,71.875,,
